latitude,longitude,block,street_name
1.3314261306332646,103.72202655007358,10,YUNG KUANG RD
1.3141316722460257,103.87148475158666,10,UPP BOON KENG RD
1.3221170373437003,103.7428882792039,10,TEBAN GDNS RD
1.3341928406745363,103.8785352809471,1,UPP ALJUNIED LANE
1.2850089977513417,103.81611144520734,10,REDHILL CL
1.2883336541158985,103.80840354089474,10,JLN RUMAH TINGGI
1.2874593681012665,103.83266747455478,10,JLN BT HO SWEE
1.3103148298460177,103.78959877361315,10,GHIM MOH RD
1.3074314939913638,103.80115303697049,99,C'WEALTH CRES
1.3085934950296132,103.88820096315197,99,OLD AIRPORT RD
1.2861637323724233,103.8330185033687,1,TIONG BAHRU RD
1.3945626965076348,103.8698789798039,1,SELETAR WEST FARMWAY 6
1.3040180876640184,103.85430264904198,1,ROCHOR RD
1.2843223111438176,103.81780711552412,1,REDHILL CL
1.3170237259189652,103.89753231756764,1,JLN PASAR BARU
1.3864851977971278,103.88272764757095,995B,BUANGKOK CRES
1.3859750611628459,103.88292371924476,996C,BUANGKOK CRES
1.3117151144706771,103.92298974804181,1,EAST COAST RD
1.3865620416663311,103.88260459834567,995A,BUANGKOK CRES
1.31276346405246,103.883518875617,1,LOR 24 GEYLANG
1.31239029325191,103.881504147527,1,LOR 20 GEYLANG
1.30913494853385,103.679462650861,1,BENOI RD
1.30546620302719,103.895673805567,1,BOSCOMBE RD
1.34461889355756,103.749789011042,1,BUKIT BATOK ST 22
1.31428305645027,103.723912934217,1,BUROH LANE
1.4374247817545,103.829625094234,7,CANBERRA DR
1.43701895698142,103.828762636693,9,CANBERRA DR
1.43722064821863,103.828938803849,11,CANBERRA DR
1.43761742024532,103.829271220661,15,CANBERRA DR
1.43787327688961,103.829474848167,17,CANBERRA DR
1.43809545913383,103.829640491153,19,CANBERRA DR
1.43847263414067,103.829893644138,23,CANBERRA DR
1.43824140660428,103.830029132651,25,CANBERRA DR
1.43769199919621,103.830277614211,1,CANBERRA DR
1.43760543889488,103.83007563844,3,CANBERRA DR
1.43751134209599,103.829827070243,5,CANBERRA DR
1.33675303957949,103.96371337014,1,CHANGI BUSINESS PK AVE 1
1.35346215607009,103.968413815066,1,CHANGI NTH ST 1
1.33417722289989,103.951950575604,1,CHANGI STH LANE
1.2995511499715,103.820030826773,1,CHATSWORTH PK
1.36978292882011,103.772086578275,1,CHESTNUT CL
1.36743054923206,103.768925451049,1,CHESTNUT TER
1.34622761828114,103.863475068924,1,CLIFTON VALE
1.38880269034468,103.840228958991,1,COUNTRYSIDE PLACE
1.39127006048586,103.837256990938,1,COUNTRYSIDE RD
1.34732433078395,103.890687115542,1,DEFU AVE 1
1.28243134865965,103.805032354627,1,DEPOT CL
1.32065764524824,103.90246344511,1,EUNOS CRES
1.28224086133443,103.851286587939,1,FINLAYSON GREEN
1.32411140646788,103.692799207969,1,FIRST LOK YANG RD
1.3068459802127,103.903312046194,1,FOWLIE RD
1.32882138538917,103.873314322361,1,GENTING LANE
1.31151480729051,103.834774468894,1,GOODWOOD HILL
1.33669998345966,103.953923231909,1,GUAN SOON AVE
1.30988916517283,103.881016283453,1,GUILLEMARD LANE
1.30921937771546,103.796732386696,1,HOLLAND CL
1.30778509510262,103.857010982845,1,JLN BERSEH
1.28516824200107,103.810103677025,1,JLN KILANG
1.34662817414038,103.870069930138,1,JLN LATEH
1.32894838877984,103.883235810503,1,JLN MELATI
1.32289356948321,103.669334955017,1,JOO KOON WAY
1.31246375796519,103.864268387794,1,KALLANG JUNCTION
1.31765891859773,103.867035910804,1,KALLANG PLACE
1.32656330247376,103.873534480528,1,KALLANG SECTOR
1.2960216015797,103.815564059488,1,KAY SIANG RD
1.30999513892346,103.928838434685,1,KEE SUN AVE
1.27891832141464,103.841421971652,1,KEONG SAIK RD
1.3197812320598,103.95118817613,1,KEW CRES
1.31883046264584,103.951909883841,1,KEW DR
1.3203839903777,103.94954876625,1,KEW TER
1.32980527571518,103.695911616257,1,KIAN TECK DR
1.30753213460949,103.908307312693,1,KUO CHUAN AVE
1.32688003749342,103.913436272908,1,LENGKONG LIMA
1.33032308644461,103.800803204239,1,LINDEN DR
1.33905069874357,103.885270655813,1,LOR PAYA LEBAR
1.29968515586612,103.889440906415,1,MARGATE RD
1.35967496927109,103.872603564661,1,MARLENE AVE
1.30758230206091,103.858967398343,1,MAUDE RD
1.31908636997898,103.847053580169,1,MOULMEIN RISE
1.34213681039713,103.885012895005,1,NEW INDUSTRIAL RD
1.30165726761991,103.761422182656,1,PANDAN CRES
1.32094925571977,103.702584747696,1,PIONEER TURN
1.33326693354484,103.886533192457,1,PLAYFAIR RD
1.30709112160981,103.895086959554,1,POOLE RD
1.34348442224314,103.883371532154,1,ROCHDALE RD
1.38604249883318,103.858793844074,1,SARACA DR
1.32926702701215,103.80013669676,1,SECOND AVE
1.31750660205081,103.938058277102,1,SENNETT LANE
1.30799688822434,103.695673052698,1,SHIPYARD RD
1.40555869641707,103.823636645404,1,SPRINGSIDE CRES
1.40305909196889,103.819636088075,1,SPRINGSIDE GREEN
1.40441511346676,103.821824150554,1,SPRINGSIDE PLACE
1.40630369668916,103.821767633245,1,SPRINGSIDE RD
1.34848485867095,103.885302722306,1,TAI KENG TER
1.31128288252259,103.799449920486,1,TAMAN WARNA
1.32861610924138,103.644846758794,1,TUAS AVE 10
1.32081179656864,103.664392314442,1,TUAS RD
1.28826861645203,103.848549751236,1,UPP CIRCULAR RD
1.31884277325653,103.803699823307,1,VICTORIA PK CL
